Geographic Area Name (NAME),Population Universe (POPUNI),"Estimate, 0 components of social vulnerability (PRED0_E)","Margin of error, 0 components of social vulnerability (PRED0_M)","Percent, 0 components of social vulnerability (PRED0_PE)","Percent margin of error, 0 components of social vulnerability (PRED0_PM)","Estimate, 1-2 components of social vulnerability (PRED12_E)","Margin of error, 1-2 components of social vulnerability (PRED12_M)","Percent, 1-2 components of social vulnerability (PRED12_PE)","Percent margin of error, 1-2 components of social vulnerability (PRED12_PM)","Estimate, 3+ components of social vulnerability (PRED3_E)","Margin of error, 3+ components of social vulnerability (PRED3_M)","Percent, 3+ components of social vulnerability (PRED3_PE)","Percent margin of error, 3+ components of social vulnerability (PRED3_PM)"
"St. Lucie County, Florida","372,283","111,845","11,790",30.04%,3.17%,"178,810","12,605",48.03%,3.39%,"81,628","10,370",21.93%,2.79%
"Lehigh County, Pennsylvania","373,740","133,187","11,764",35.64%,3.15%,"155,132","12,925",41.51%,3.46%,"85,421","11,106",22.86%,2.97%
"Loudoun County, Virginia","436,116","219,651","11,751",50.37%,2.69%,"166,873","11,999",38.26%,2.75%,"49,592","8,852",11.37%,2.03%
"Waukesha County, Wisconsin","411,489","200,795","11,715",48.80%,2.85%,"152,540","11,573",37.07%,2.81%,"58,154","8,797",14.13%,2.14%
"Greater Bridgeport Planning Region, Connecticut","319,663","109,845","11,703",34.36%,3.66%,"141,311","12,875",44.21%,4.03%,"68,507","10,999",21.43%,3.44%
"Lake County, Florida","423,146","137,655","11,702",32.53%,2.77%,"194,662","12,466",46.00%,2.95%,"90,829","10,194",21.47%,2.41%
"Clayton County, Georgia","294,055","88,272","11,691",30.02%,3.98%,"143,868","12,455",48.93%,4.24%,"61,915","10,190",21.06%,3.47%
"Horry County, South Carolina","391,458","118,099","11,690",30.17%,2.99%,"180,724","12,321",46.17%,3.15%,"92,635","10,156",23.66%,2.59%
"Orange County, New York","401,223","154,177","11,689",38.43%,2.91%,"173,958","11,843",43.36%,2.95%,"73,088","9,088",18.22%,2.27%
"Stark County, Ohio","369,541","149,398","11,627",40.43%,3.15%,"150,251","11,584",40.66%,3.13%,"69,892","9,169",18.91%,2.48%
"St. Louis city, Missouri","275,426","97,656","11,606",35.46%,4.21%,"108,649","12,132",39.45%,4.40%,"69,121","10,378",25.10%,3.77%
"Hamilton County, Indiana","371,275","191,290","11,525",51.52%,3.10%,"138,285","11,322",37.25%,3.05%,"41,700","8,329",11.23%,2.24%
"Rutherford County, Tennessee","363,766","146,938","11,490",40.39%,3.16%,"156,856","11,693",43.12%,3.21%,"59,972","9,269",16.49%,2.55%
"Solano County, California","442,712","135,818","11,402",30.68%,2.58%,"227,032","12,514",51.28%,2.83%,"79,862","9,976",18.04%,2.25%
"Spartanburg County, South Carolina","351,481","128,276","11,396",36.50%,3.24%,"152,418","11,595",43.36%,3.30%,"70,787","8,811",20.14%,2.51%
"Placer County, California","422,277","163,989","11,391",38.83%,2.70%,"189,093","12,310",44.78%,2.92%,"69,195","9,451",16.39%,2.24%
"Collier County, Florida","402,628","97,329","11,374",24.17%,2.82%,"204,166","12,805",50.71%,3.18%,"101,133","11,067",25.12%,2.75%
"Clackamas County, Oregon","422,845","167,265","11,334",39.56%,2.68%,"189,334","11,916",44.78%,2.82%,"66,246","9,095",15.67%,2.15%
"Durham County, North Carolina","322,501","127,113","11,288",39.41%,3.50%,"135,382","11,671",41.98%,3.62%,"60,006","9,137",18.61%,2.83%
"Cameron County, Texas","423,959","87,528","11,284",20.65%,2.66%,"210,922","13,246",49.75%,3.12%,"125,509","11,812",29.60%,2.79%
"Bell County, Texas","390,404","124,792","11,234",31.96%,2.88%,"191,759","11,936",49.12%,3.06%,"73,853","9,799",18.92%,2.51%
"Pinal County, Arizona","465,360","139,884","11,199",30.06%,2.41%,"230,455","12,020",49.52%,2.58%,"95,021","9,399",20.42%,2.02%
"Tulare County, California","478,514","119,043","11,127",24.88%,2.33%,"249,780","12,518",52.20%,2.62%,"109,691","10,026",22.92%,2.10%
"Escambia County, Florida","319,568","112,641","11,115",35.25%,3.48%,"141,259","11,368",44.20%,3.56%,"65,668","8,838",20.55%,2.77%
"Anoka County, Minnesota","371,140","166,837","10,901",44.95%,2.94%,"153,879","10,888",41.46%,2.93%,"50,424","8,204",13.59%,2.21%
"Henrico County, Virginia","333,381","138,643","10,849",41.59%,3.25%,"135,350","11,165",40.60%,3.35%,"59,388","8,738",17.81%,2.62%
"Fayette County, Kentucky","310,862","120,295","10,838",38.70%,3.49%,"127,244","11,118",40.93%,3.58%,"63,323","9,215",20.37%,2.96%
"Rockland County, New York","338,966","106,898","10,834",31.54%,3.20%,"150,326","11,630",44.35%,3.43%,"81,742","9,690",24.12%,2.86%
"Albany County, New York","302,227","122,271","10,735",40.46%,3.55%,"122,473","11,022",40.52%,3.65%,"57,483","8,864",19.02%,2.93%
"Larimer County, Colorado","361,268","154,003","10,697",42.63%,2.96%,"155,739","10,866",43.11%,3.01%,"51,526","7,883",14.26%,2.18%
"Galveston County, Texas","358,223","129,923","10,674",36.27%,2.98%,"159,300","11,214",44.47%,3.13%,"69,000","9,161",19.26%,2.56%
"Lane County, Oregon","375,498","120,758","10,654",32.16%,2.84%,"176,904","11,303",47.11%,3.01%,"77,836","8,767",20.73%,2.33%
"Douglas County, Colorado","383,637","198,791","10,650",51.82%,2.78%,"148,884","10,704",38.81%,2.79%,"35,962","7,396",9.37%,1.93%
"Howard County, Maryland","334,871","151,727","10,579",45.31%,3.16%,"136,612","10,830",40.80%,3.23%,"46,532","8,258",13.90%,2.47%
"Nueces County, Texas","348,012","96,760","10,570",27.80%,3.04%,"161,987","11,821",46.55%,3.40%,"89,265","10,298",25.65%,2.96%
"Lancaster County, Nebraska","316,035","134,734","10,534",42.63%,3.33%,"130,000","10,525",41.13%,3.33%,"51,301","8,018",16.23%,2.54%
"Washtenaw County, Michigan","346,905","143,248","10,516",41.29%,3.03%,"142,659","10,610",41.12%,3.06%,"60,998","8,435",17.58%,2.43%
"Lubbock County, Texas","312,019","98,593","10,506",31.60%,3.37%,"146,992","11,232",47.11%,3.60%,"66,434","9,252",21.29%,2.97%
"Monterey County, California","422,179","95,205","10,467",22.55%,2.48%,"233,714","12,072",55.36%,2.86%,"93,260","9,805",22.09%,2.32%
"Arlington County, Virginia","233,227","108,667","10,460",46.59%,4.48%,"93,236","10,538",39.98%,4.52%,"31,324","7,705",13.43%,3.30%
"Leon County, Florida","281,700","102,207","10,347",36.28%,3.67%,"123,746","10,607",43.93%,3.77%,"55,747","8,218",19.79%,2.92%
"Brazoria County, Texas","391,062","140,535","10,312",35.94%,2.64%,"180,414","10,962",46.13%,2.80%,"70,113","9,009",17.93%,2.30%
"Davis County, Utah","372,692","184,341","10,236",49.46%,2.75%,"149,271","10,233",40.05%,2.75%,"39,080","6,837",10.49%,1.83%
"Cumberland County, North Carolina","335,746","113,394","10,224",33.77%,3.05%,"162,338","10,523",48.35%,3.13%,"60,014","8,041",17.87%,2.39%
"Greene County, Missouri","297,534","112,344","10,137",37.76%,3.41%,"132,181","10,020",44.43%,3.37%,"53,009","7,463",17.82%,2.51%
"Alachua County, Florida","269,665","100,308","10,123",37.20%,3.75%,"115,980","10,399",43.01%,3.86%,"53,377","8,069",19.79%,2.99%
"Santa Barbara County, California","427,691","111,813","10,106",26.14%,2.36%,"218,566","11,273",51.10%,2.64%,"97,312","9,074",22.75%,2.12%
"Chatham County, Georgia","293,473","99,659","10,094",33.96%,3.44%,"132,977","10,487",45.31%,3.57%,"60,837","8,356",20.73%,2.85%
"Weld County, Colorado","356,602","145,353","10,051",40.76%,2.82%,"158,932","10,309",44.57%,2.89%,"52,317","7,481",14.67%,2.10%
"Somerset County, New Jersey","348,608","154,848","10,028",44.42%,2.88%,"141,996","10,475",40.73%,3.00%,"51,764","8,474",14.85%,2.43%
"Lorain County, Ohio","312,999","125,036","9,996",39.95%,3.19%,"128,625","10,087",41.09%,3.22%,"59,338","8,057",18.96%,2.57%
"Lexington County, South Carolina","309,327","122,592","9,992",39.63%,3.23%,"131,736","10,177",42.59%,3.29%,"54,999","7,755",17.78%,2.51%
"Westmoreland County, Pennsylvania","347,961","146,728","9,899",42.17%,2.84%,"135,751","9,829",39.01%,2.82%,"65,482","7,673",18.82%,2.21%
"Dauphin County, Pennsylvania","285,903","108,191","9,802",37.84%,3.43%,"120,150","10,084",42.02%,3.53%,"57,562","8,270",20.13%,2.89%
"Rockingham County, New Hampshire","320,372","148,652","9,794",46.40%,3.06%,"130,459","9,645",40.72%,3.01%,"41,261","6,700",12.88%,2.09%
"York County, South Carolina","295,573","127,117","9,783",43.01%,3.31%,"122,615","9,915",41.48%,3.35%,"45,841","7,431",15.51%,2.51%
"Marion County, Oregon","340,228","106,942","9,759",31.43%,2.87%,"159,454","10,483",46.87%,3.08%,"73,832","8,152",21.70%,2.40%
"Cherokee County, Georgia","285,471","127,295","9,752",44.59%,3.42%,"119,067","9,799",41.71%,3.43%,"39,109","7,166",13.70%,2.51%
"Buncombe County, North Carolina","272,062","98,653","9,731",36.26%,3.58%,"119,613","9,946",43.97%,3.66%,"53,796","7,769",19.77%,2.86%
"Richmond city, Virginia","220,101","82,057","9,653",37.28%,4.39%,"92,694","10,024",42.11%,4.55%,"45,350","7,884",20.60%,3.58%
"St. Johns County, Florida","318,623","135,104","9,636",42.40%,3.02%,"135,304","9,780",42.47%,3.07%,"48,215","7,405",15.13%,2.32%
"Forsyth County, Georgia","272,512","140,053","9,619",51.39%,3.53%,"101,849","9,567",37.37%,3.51%,"30,610","6,521",11.23%,2.39%
"Winnebago County, Illinois","279,882","102,998","9,537",36.80%,3.41%,"120,260","9,782",42.97%,3.50%,"56,624","7,965",20.23%,2.85%
"Luzerne County, Pennsylvania","320,442","108,899","9,471",33.98%,2.96%,"135,030","9,761",42.14%,3.05%,"76,513","8,059",23.88%,2.51%
"Thurston County, Washington","297,446","110,450","9,421",37.13%,3.17%,"135,699","9,907",45.62%,3.33%,"51,297","7,432",17.25%,2.50%
"Northampton County, Pennsylvania","307,932","125,966","9,378",40.91%,3.05%,"123,312","9,544",40.05%,3.10%,"58,654","7,707",19.05%,2.50%
"Anchorage Municipality, Alaska","284,277","104,624","9,370",36.80%,3.30%,"135,793","9,839",47.77%,3.46%,"43,860","7,346",15.43%,2.58%
"Boulder County, Colorado","314,455","129,535","9,340",41.19%,2.97%,"138,265","9,473",43.97%,3.01%,"46,655","6,913",14.84%,2.20%
"Cumberland County, Maine","303,818","131,260","9,325",43.20%,3.07%,"127,527","9,389",41.97%,3.09%,"45,031","7,185",14.82%,2.36%
"Benton County, Arkansas","309,681","120,243","9,290",38.83%,3.00%,"137,545","9,635",44.42%,3.11%,"51,893","7,411",16.76%,2.39%
"Gloucester County, New Jersey","302,294","132,851","9,233",43.95%,3.05%,"119,829","9,247",39.64%,3.06%,"49,614","7,104",16.41%,2.35%
"Lafayette Parish, Louisiana","248,289","89,028","9,140",35.86%,3.68%,"110,886","9,397",44.66%,3.78%,"48,375","7,497",19.48%,3.02%
"Henry County, Georgia","253,649","103,216","9,136",40.69%,3.60%,"108,723","9,414",42.86%,3.71%,"41,710","7,249",16.44%,2.86%
"Cleveland County, Oklahoma","290,331","104,917","9,123",36.14%,3.14%,"131,723","9,431",45.37%,3.25%,"53,691","7,420",18.49%,2.56%
"Dutchess County, New York","284,948","118,904","9,073",41.73%,3.18%,"116,042","9,131",40.72%,3.20%,"50,002","7,179",17.55%,2.52%
"St. Joseph County, Indiana","263,358","99,152","9,040",37.65%,3.43%,"111,540","9,185",42.35%,3.49%,"52,666","7,414",20.00%,2.82%
"Kalamazoo County, Michigan","256,322","115,391","8,995",45.02%,3.51%,"96,679","9,002",37.72%,3.51%,"44,252","7,033",17.26%,2.74%
"Gaston County, North Carolina","235,781","88,346","8,957",37.47%,3.80%,"102,601","9,088",43.52%,3.85%,"44,834","6,886",19.02%,2.92%
"McHenry County, Illinois","312,516","150,057","8,929",48.02%,2.86%,"119,082","8,895",38.10%,2.85%,"43,377","6,803",13.88%,2.18%
"Ingham County, Michigan","267,529","105,732","8,923",39.52%,3.34%,"111,055","9,025",41.51%,3.37%,"50,742","7,193",18.97%,2.69%
"Frederick County, Maryland","290,575","132,903","8,897",45.74%,3.06%,"116,801","9,129",40.20%,3.14%,"40,871","7,054",14.07%,2.43%
"Norfolk city, Virginia","223,617","75,706","8,867",33.86%,3.97%,"102,775","9,306",45.96%,4.16%,"45,136","7,481",20.18%,3.35%
"Chesapeake city, Virginia","250,814","104,290","8,847",41.58%,3.53%,"105,746","9,066",42.16%,3.61%,"40,778","7,000",16.26%,2.79%
"Webb County, Texas","266,439","52,968","8,845",19.88%,3.32%,"130,858","10,276",49.11%,3.86%,"82,613","9,062",31.01%,3.40%
"Atlantic County, New Jersey","271,763","99,051","8,794",36.45%,3.24%,"114,898","9,105",42.28%,3.35%,"57,814","7,441",21.27%,2.74%
"New Hanover County, North Carolina","233,493","90,344","8,774",38.69%,3.76%,"102,339","8,887",43.83%,3.81%,"40,810","6,767",17.48%,2.90%
"St. Tammany Parish, Louisiana","275,196","102,918","8,769",37.40%,3.19%,"118,482","9,120",43.05%,3.31%,"53,796","7,402",19.55%,2.69%
"Weber County, Utah","270,342","108,384","8,760",40.09%,3.24%,"127,565","8,828",47.19%,3.27%,"34,393","6,089",12.72%,2.25%
"Montgomery County, Tennessee","237,610","92,596","8,724",38.97%,3.67%,"103,045","8,869",43.37%,3.73%,"41,969","6,933",17.66%,2.92%
"Ottawa County, Michigan","296,559","133,540","8,715",45.03%,2.94%,"118,803","8,649",40.06%,2.92%,"44,216","6,516",14.91%,2.20%
"Cabarrus County, North Carolina","239,155","105,845","8,715",44.26%,3.64%,"95,537","8,867",39.95%,3.71%,"37,773","6,651",15.79%,2.78%
"Brown County, Wisconsin","266,720","110,075","8,630",41.27%,3.24%,"111,563","8,685",41.83%,3.26%,"45,082","6,823",16.90%,2.56%
"Hays County, Texas","273,603","105,465","8,533",38.55%,3.12%,"122,889","9,033",44.92%,3.30%,"45,249","7,259",16.54%,2.65%
"St. Clair County, Illinois","248,947","97,918","8,527",39.33%,3.43%,"101,004","8,671",40.57%,3.48%,"50,025","7,041",20.09%,2.83%
"Harford County, Maryland","264,322","119,561","8,524",45.23%,3.22%,"105,821","8,648",40.03%,3.27%,"38,940","6,608",14.73%,2.50%
"Clay County, Missouri","258,880","115,533","8,484",44.63%,3.28%,"104,001","8,410",40.17%,3.25%,"39,346","6,195",15.20%,2.39%
"Williamson County, Tennessee","264,258","132,748","8,439",50.23%,3.19%,"97,849","8,471",37.03%,3.21%,"33,661","6,419",12.74%,2.43%
"Montgomery County, Alabama","218,513","67,369","8,366",30.83%,3.83%,"96,574","9,039",44.20%,4.14%,"54,570","7,914",24.97%,3.62%
"Erie County, Pennsylvania","257,630","97,341","8,365",37.78%,3.25%,"103,230","8,479",40.07%,3.29%,"57,059","6,960",22.15%,2.70%
"Southeastern Connecticut Planning Region, Connecticut","273,888","107,206","8,356",39.14%,3.05%,"116,347","8,508",42.48%,3.11%,"50,335","6,521",18.38%,2.38%
"McLennan County, Texas","262,014","78,625","8,323",30.01%,3.18%,"121,169","8,894",46.25%,3.39%,"62,220","7,418",23.75%,2.83%
"Kitsap County, Washington","277,345","99,386","8,321",35.83%,3.00%,"135,712","8,687",48.93%,3.13%,"42,247","6,419",15.23%,2.31%
"Cumberland County, Pennsylvania","258,740","109,724","8,276",42.41%,3.20%,"102,493","8,250",39.61%,3.19%,"46,523","6,424",17.98%,2.48%
"Jefferson County, Texas","239,355","66,331","8,270",27.71%,3.46%,"107,741","8,891",45.01%,3.71%,"65,283","7,613",27.27%,3.18%
"Clay County, Florida","232,025","91,365","8,249",39.38%,3.56%,"103,607","8,372",44.65%,3.61%,"37,053","6,338",15.97%,2.73%
"Washington County, Arkansas","252,917","88,524","8,206",35.00%,3.24%,"116,815","8,530",46.19%,3.37%,"47,578","6,616",18.81%,2.62%
"Caddo Parish, Louisiana","224,903","66,810","8,173",29.71%,3.63%,"96,319","8,740",42.83%,3.89%,"61,774","7,648",27.47%,3.40%
"Richmond County, Georgia","201,361","62,216","8,169",30.90%,4.06%,"91,934","8,507",45.66%,4.22%,"47,211","6,803",23.45%,3.38%
"Muscogee County, Georgia","198,901","64,659","8,066",32.51%,4.06%,"88,474","8,452",44.48%,4.25%,"45,768","6,824",23.01%,3.43%
"Washington County, Minnesota","277,191","138,002","8,066",49.79%,2.91%,"104,952","7,997",37.86%,2.89%,"34,237","5,900",12.35%,2.13%
"Union County, North Carolina","254,448","112,875","8,035",44.36%,3.16%,"104,447","8,133",41.05%,3.20%,"37,126","5,985",14.59%,2.35%
"Madison County, Illinois","259,011","112,127","8,031",43.29%,3.10%,"99,505","7,987",38.42%,3.08%,"47,379","6,266",18.29%,2.42%
"Marin County, California","249,702","83,339","7,997",33.38%,3.20%,"120,688","8,591",48.33%,3.44%,"45,675","6,828",18.29%,2.73%
"Brazos County, Texas","224,651","71,466","7,974",31.81%,3.55%,"101,429","8,345",45.15%,3.71%,"51,756","6,569",23.04%,2.92%
"Warren County, Ohio","249,347","125,773","7,924",50.44%,3.18%,"91,137","7,774",36.55%,3.12%,"32,437","5,702",13.01%,2.29%
"Berkeley County, South Carolina","254,347","95,017","7,924",37.36%,3.12%,"118,226","8,127",46.48%,3.20%,"41,104","6,276",16.16%,2.47%
"Tuscaloosa County, Alabama","218,293","81,560","7,905",37.36%,3.62%,"87,492","8,253",40.08%,3.78%,"49,241","6,908",22.56%,3.16%
"Lake County, Ohio","230,960","98,027","7,898",42.44%,3.42%,"89,623","7,898",38.80%,3.42%,"43,310","6,287",18.75%,2.72%
"Baldwin County, Alabama","251,949","91,386","7,887",36.27%,3.13%,"107,840","8,199",42.80%,3.25%,"52,723","6,888",20.93%,2.73%
"Mahoning County, Ohio","221,716","79,830","7,877",36.01%,3.55%,"88,795","7,970",40.05%,3.59%,"53,091","6,537",23.95%,2.95%
"Santa Cruz County, California","253,602","71,262","7,858",28.10%,3.10%,"134,766","8,503",53.14%,3.35%,"47,574","6,675",18.76%,2.63%
"Johnston County, North Carolina","240,715","90,151","7,840",37.45%,3.26%,"105,052","8,130",43.64%,3.38%,"45,512","6,345",18.91%,2.64%
"Jefferson County, Missouri","230,884","104,856","7,759",45.42%,3.36%,"90,545","7,593",39.22%,3.29%,"35,483","5,387",15.37%,2.33%
"Merced County, California","287,326","75,957","7,758",26.44%,2.70%,"145,184","8,690",50.53%,3.02%,"66,185","6,912",23.03%,2.41%
"Shelby County, Alabama","230,447","100,527","7,752",43.62%,3.36%,"91,144","7,896",39.55%,3.43%,"38,776","6,309",16.83%,2.74%
"Canyon County, Idaho","255,886","86,586","7,716",33.84%,3.02%,"125,864","7,910",49.19%,3.09%,"43,436","5,792",16.97%,2.26%
"Smith County, Texas","241,838","69,605","7,665",28.78%,3.17%,"114,423","8,345",47.31%,3.45%,"57,810","7,110",23.90%,2.94%
"Hernando County, Florida","211,676","61,342","7,626",28.98%,3.60%,"102,325","8,046",48.34%,3.80%,"48,009","6,512",22.68%,3.08%
"Calcasieu Parish, Louisiana","202,338","67,689","7,626",33.45%,3.77%,"87,494","7,978",43.24%,3.94%,"47,155","6,544",23.31%,3.23%
"Saratoga County, New York","236,434","109,377","7,577",46.26%,3.20%,"92,860","7,472",39.28%,3.16%,"34,197","5,600",14.46%,2.37%
"Barnstable County, Massachusetts","230,315","80,641","7,557",35.01%,3.28%,"104,605","7,785",45.42%,3.38%,"45,069","6,104",19.57%,2.65%
"Hinds County, Mississippi","208,945","64,243","7,521",30.75%,3.60%,"89,209","8,175",42.69%,3.91%,"55,493","7,274",26.56%,3.48%
"Linn County, Iowa","225,720","97,528","7,507",43.21%,3.33%,"91,125","7,478",40.37%,3.31%,"37,067","5,710",16.42%,2.53%
"Sumner County, Tennessee","207,537","87,731","7,431",42.27%,3.58%,"85,462","7,497",41.18%,3.61%,"34,344","5,872",16.55%,2.83%
"Clermont County, Ohio","211,736","95,960","7,429",45.32%,3.51%,"80,280","7,266",37.92%,3.43%,"35,496","5,360",16.76%,2.53%
"Delaware County, Ohio","230,405","120,606","7,429",52.35%,3.22%,"80,872","7,323",35.10%,3.18%,"28,927","5,390",12.55%,2.34%
"Harrison County, Mississippi","209,843","67,337","7,351",32.09%,3.50%,"91,494","7,700",43.60%,3.67%,"51,012","6,480",24.31%,3.09%
"Hall County, Georgia","216,420","72,592","7,315",33.54%,3.38%,"103,324","7,623",47.74%,3.52%,"40,504","5,942",18.72%,2.75%
"Alexandria city, Virginia","154,827","63,255","7,268",40.86%,4.69%,"64,815","7,472",41.86%,4.83%,"26,757","5,759",17.28%,3.72%
"DeSoto County, Mississippi","192,767","78,184","7,259",40.56%,3.77%,"78,452","7,478",40.70%,3.88%,"36,131","6,099",18.74%,3.16%
"Yakima County, Washington","255,612","67,615","7,249",26.45%,2.84%,"128,207","8,110",50.16%,3.17%,"59,790","6,495",23.39%,2.54%
"Charlotte County, Florida","204,260","53,703","7,223",26.29%,3.54%,"97,732","7,881",47.85%,3.86%,"52,825","6,736",25.86%,3.30%
"Oneida County, New York","220,030","81,983","7,209",37.26%,3.28%,"88,532","7,347",40.24%,3.34%,"49,515","6,048",22.50%,2.75%
"Anderson County, South Carolina","211,408","78,855","7,203",37.30%,3.41%,"90,263","7,412",42.70%,3.51%,"42,290","5,878",20.00%,2.78%
"Paulding County, Georgia","182,793","83,123","7,174",45.47%,3.92%,"77,489","7,196",42.39%,3.94%,"22,181","5,155",12.13%,2.82%
"Doña Ana County, New Mexico","221,430","60,110","7,145",27.15%,3.23%,"108,198","7,756",48.86%,3.50%,"53,122","6,299",23.99%,2.84%
"Lackawanna County, Pennsylvania","211,224","73,897","7,136",34.99%,3.38%,"88,565","7,273",41.93%,3.44%,"48,762","6,003",23.09%,2.84%
"Minnehaha County, South Dakota","203,926","90,236","7,129",44.25%,3.50%,"80,679","7,139",39.56%,3.50%,"33,011","5,483",16.19%,2.69%
"Whatcom County, Washington","227,835","77,322","7,120",33.94%,3.13%,"110,274","7,552",48.40%,3.31%,"40,239","5,762",17.66%,2.53%
